iter	Passed	Remaining
455	1002	1195
456	1003	1192
457	1007	1192
458	1009	1189
459	1011	1186
460	1012	1183
461	1014	1181
462	1015	1178
463	1018	1176
464	1019	1173
465	1022	1171
466	1023	1168
467	1025	1165
468	1027	1163
469	1030	1161
470	1031	1158
471	1033	1156
472	1037	1155
473	1039	1153
474	1040	1150
475	1043	1148
476	1048	1149
477	1051	1148
478	1053	1146
479	1055	1143
480	1057	1140
481	1058	1137
482	1060	1135
483	1062	1132
484	1063	1129
485	1067	1128
486	1068	1125
487	1070	1122
488	1072	1120
489	1073	1117
490	1075	1114
491	1076	1111
492	1078	1109
493	1082	1108
494	1083	1105
495	1085	1103
496	1087	1100
497	1089	1098
498	1091	1095
499	1093	1093
500	1095	1090
501	1097	1088
502	1099	1086
503	1101	1084
504	1104	1082
505	1107	1081
506	1111	1080
507	1113	1078
508	1117	1078
509	1120	1076
510	1121	1073
511	1132	1078
512	1136	1078
513	1138	1076
514	1142	1075
515	1144	1073
516	1146	1071
517	1148	1068
518	1149	1065
519	1151	1062
520	1153	1060
521	1154	1057
522	1156	1054
523	1157	1051
524	1159	1049
525	1162	1047
526	1164	1045
527	1166	1042
528	1168	1040
529	1172	1039
530	1174	1037
531	1177	1035
532	1178	1032
533	1180	1029
534	1188	1032
535	1190	1030
536	1192	1027
537	1193	1024
538	1195	1022
539	1196	1019
540	1198	1016
541	1200	1014
542	1201	1011
543	1203	1008
544	1205	1006
545	1206	1003
546	1208	1000
547	1209	997
548	1213	996
549	1214	993
550	1216	991
551	1217	988
552	1219	985
553	1221	983
554	1223	981
555	1227	980
556	1230	978
557	1233	976
558	1234	974
559	1237	972
560	1239	969
561	1242	968
562	1244	965
563	1245	963
564	1247	960
565	1249	957
566	1250	955
567	1252	952
568	1253	949
569	1257	948
570	1258	945
571	1260	943
572	1262	940
573	1264	938
574	1265	935
575	1267	932
576	1268	930
577	1272	928
578	1274	926
579	1276	924
580	1277	921
581	1280	919
582	1282	917
583	1284	914
584	1287	913
585	1290	911
586	1292	909
587	1293	906
588	1295	904
589	1297	901
590	1298	898
591	1302	897
592	1304	895
593	1305	892
594	1307	889
595	1309	887
596	1310	884
597	1312	882
598	1313	879
599	1314	876
600	1317	874
601	1319	872
602	1321	869
603	1322	867
604	1324	864
605	1325	861
606	1327	859
607	1328	856
608	1332	855
609	1333	852
610	1335	850
611	1338	848
612	1341	846
613	1343	844
614	1350	845
615	1352	843
616	1354	840
617	1356	838
618	1357	835
619	1359	833
620	1362	831
621	1363	828
622	1365	826
623	1366	823
624	1368	820
625	1369	818
626	1371	815
627	1372	813
628	1374	810
629	1376	808
630	1378	806
631	1380	803
632	1382	801
633	1383	798
634	1385	796
635	1386	793
636	1388	791
637	1389	788
638	1392	786
639	1394	784
640	1395	781
641	1397	779
642	1398	776
643	1400	774
644	1401	771
645	1403	768
646	1404	766
647	1407	764
648	1409	762
649	1410	759
650	1411	756
651	1413	754
652	1414	751
653	1416	749
654	1418	746
655	1419	744
656	1422	742
657	1423	739
658	1425	737
659	1426	734
660	1428	732
661	1429	729
662	1430	727
663	1432	724
664	1433	722
665	1437	720
666	1438	718
667	1440	715
668	1441	713
669	1442	710
670	1444	708
671	1446	705
672	1447	703
673	1448	700
674	1451	698
675	1453	696
676	1454	694
677	1456	691
678	1457	689
679	1459	686
680	1460	684
681	1462	681
682	1463	679
683	1465	677
684	1467	674
685	1469	672
686	1471	670
687	1472	667
688	1474	665
689	1475	663
690	1477	660
691	1478	658
692	1481	656
693	1483	653
694	1484	651
695	1486	649
696	1487	646
697	1489	644
698	1490	641
699	1492	639
700	1493	637
701	1495	634
702	1497	632
703	1499	630
704	1500	627
705	1502	625
706	1503	623
707	1504	620
708	1506	618
709	1508	615
710	1509	613
711	1511	611
712	1513	609
713	1514	606
714	1516	604
715	1517	602
716	1519	599
717	1520	597
718	1522	594
719	1523	592
720	1526	590
721	1528	588
722	1529	586
723	1531	583
724	1533	581
725	1535	579
726	1537	577
727	1540	575
728	1543	573
729	1545	571
730	1546	569
731	1547	566
732	1549	564
733	1550	562
734	1552	559
735	1553	557
736	1556	555
737	1558	553
738	1560	551
739	1562	548
740	1563	546
741	1565	544
742	1566	541
743	1567	539
744	1571	537
745	1572	535
746	1574	533
747	1575	530
748	1576	528
749	1578	526
750	1580	523
751	1582	521
752	1583	519
753	1586	517
754	1588	515
755	1589	513
756	1591	510
757	1592	508
758	1593	506
759	1595	503
760	1596	501
761	1598	499
762	1601	497
763	1602	495
764	1603	492
765	1605	490
766	1607	488
767	1608	485
768	1609	483
769	1611	481
770	1612	479
771	1615	477
772	1617	474
773	1618	472
774	1620	470
775	1621	468
776	1623	465
777	1624	463
778	1626	461
779	1627	459
780	1629	456
781	1631	454
782	1633	452
783	1634	450
784	1636	448
785	1637	445
786	1639	443
787	1640	441
788	1642	439
789	1644	437
790	1646	435
791	1647	432
792	1649	430
793	1651	428
794	1652	426
795	1654	423
796	1655	421
797	1657	419
798	1660	417
799	1661	415
800	1663	413
801	1664	410
802	1665	408
803	1667	406
804	1669	404
805	1670	402
806	1672	399
807	1675	398
808	1676	395
809	1678	393
810	1679	391
811	1680	389
812	1682	386
813	1683	384
814	1685	382
815	1686	380
816	1688	378
817	1690	376
818	1691	373
819	1693	371
820	1695	369
821	1696	367
822	1698	365
823	1700	363
824	1701	361
825	1705	359
826	1706	356
827	1707	354
828	1709	352
829	1710	350
830	1712	348
831	1714	346
832	1715	343
833	1717	341
834	1720	339
835	1721	337
836	1723	335
837	1725	333
838	1726	331
839	1728	329
840	1729	327
841	1731	324
842	1734	323
843	1736	320
844	1738	318
845	1739	316
846	1741	314
847	1742	312
848	1744	310
849	1745	308
850	1747	306
851	1749	303
852	1751	301
853	1752	299
854	1754	297
855	1756	295
856	1757	293
857	1759	291
858	1761	289
859	1763	287
860	1765	284
861	1766	282
862	1767	280
863	1769	278
864	1770	276
865	1772	274
866	1774	272
867	1776	270
868	1777	268
869	1779	265
870	1780	263
871	1782	261
872	1783	259
873	1785	257
874	1786	255
875	1788	253
876	1789	250
877	1792	249
878	1794	247
879	1795	244
880	1797	242
881	1798	240
882	1800	238
883	1801	236
884	1803	234
885	1804	232
886	1807	230
887	1809	228
888	1811	226
889	1813	224
890	1814	221
891	1816	219
892	1817	217
893	1819	215
894	1821	213
895	1823	211
896	1824	209
897	1826	207
898	1828	205
899	1829	203
900	1830	201
901	1832	199
902	1833	196
903	1836	195
904	1838	192
905	1840	190
906	1841	188
907	1843	186
908	1845	184
909	1847	182
910	1848	180
911	1851	178
912	1853	176
913	1855	174
914	1856	172
915	1858	170
916	1859	168
917	1860	166
918	1862	164
919	1864	162
920	1866	160
921	1868	158
922	1869	155
923	1870	153
924	1872	151
925	1873	149
926	1875	147
927	1876	145
928	1877	143
929	1879	141
930	1881	139
931	1882	137
932	1883	135
933	1885	133
934	1886	131
935	1888	129
936	1889	127
937	1891	125
938	1892	122
939	1895	120
940	1897	118
941	1899	116
942	1901	114
943	1903	112
944	1905	110
945	1906	108
946	1909	106
947	1910	104
948	1912	102
949	1914	100
950	1915	98
951	1917	96
952	1918	94
953	1919	92
954	1921	90
955	1923	88
956	1925	86
957	1927	84
958	1928	82
959	1930	80
960	1932	78
961	1934	76
962	1936	74
963	1937	72
964	1939	70
965	1941	68
966	1942	66
967	1944	64
968	1945	62
969	1947	60
970	1948	58
971	1950	56
972	1951	54
973	1954	52
974	1956	50
975	1957	48
976	1959	46
977	1960	44
978	1962	42
979	1963	40
980	1965	38
981	1966	36
982	1970	34
983	1971	32
984	1972	30
985	1974	28
986	1975	26
987	1977	24
988	1978	22
989	1980	20
990	1981	17
991	1984	16
992	1986	14
993	1987	11
994	1988	9
995	1990	7
996	1991	5
997	1993	3
998	1994	1
999	1996	0
